OK
Marcador = Jugador4 : 15 | Jugador2 : 6 | * Jugador1 : 3 | Jugador3 : 5 | 
Marcador = Jugador4 : 15 | Jugador2 : 6 | * Jugador1 : 9 | Jugador3 : 5 | 
Marcador = Jugador4 : 24 | Jugador2 : 12 | * Jugador1 : 10 | Jugador3 : 5 | 
Marcador = Jugador4 : 24 | Jugador2 : 20 | * Jugador1 : 19 | Jugador3 : 12 | 
Marcador = Jugador4 : 34 | Jugador2 : 36 | * Jugador1 : 28 | Jugador3 : 17 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | * Jugador1 : 32 | Jugador3 : 47 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | * Jugador1 : 39 | Jugador3 : 47 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | * Jugador1 : 39 | Jugador3 : 47 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | * Jugador1 : 48 | Jugador3 : 47 | 
Marcador = Jugador4 : 41 | Jugador2 : 47 | * Jugador1 : 48 | Jugador3 : 50 | 
Marcador = Jugador4 : 41 | Jugador2 : 48 | * Jugador1 : 49 | Jugador3 : 50 | 
Marcador = Jugador4 : 41 | Jugador2 : 48 | * Jugador1 : 56 | Jugador3 : 50 | 
Marcador = Jugador4 : 52 | Jugador2 : 48 | * Jugador1 : 61 | Jugador3 : 50 | 
Marcador = Jugador4 : 52 | Jugador2 : 48 | * Jugador1 : 62 | Jugador3 : 50 | 
Marcador = Jugador4 : 62 | Jugador2 : 48 | * Jugador1 : 66 | Jugador3 : 51 | 
Marcador = Jugador4 : 67 | Jugador2 : 48 | * Jugador1 : 75 | Jugador3 : 55 | 
Marcador = Jugador4 : 73 | Jugador2 : 70 | * Jugador1 : 77 | Jugador3 : 55 | 
Marcador = Jugador4 : 80 | Jugador2 : 80 | * Jugador1 : 87 | Jugador3 : 81 | 
Marcador = Jugador4 : 80 | Jugador2 : 80 | * Jugador1 : 93 | Jugador3 : 84 | 
Marcador = Jugador4 : 80 | Jugador2 : 80 | * Jugador1 : 96 | Jugador3 : 89 | 
Game over
