OK
Marcador = Jugador4 : 5 | * Jugador2 : 2 | Jugador1 : 0 | Jugador3 : 2 | 
Marcador = Jugador4 : 15 | * Jugador2 : 4 | Jugador1 : 0 | Jugador3 : 2 | 
Marcador = Jugador4 : 15 | * Jugador2 : 6 | Jugador1 : 0 | Jugador3 : 2 | 
Marcador = Jugador4 : 18 | * Jugador2 : 12 | Jugador1 : 9 | Jugador3 : 5 | 
Marcador = Jugador4 : 24 | * Jugador2 : 20 | Jugador1 : 10 | Jugador3 : 5 | 
Marcador = Jugador4 : 24 | * Jugador2 : 23 | Jugador1 : 19 | Jugador3 : 12 | 
Marcador = Jugador4 : 24 | * Jugador2 : 26 | Jugador1 : 19 | Jugador3 : 12 | 
Marcador = Jugador4 : 30 | * Jugador2 : 36 | Jugador1 : 19 | Jugador3 : 17 | 
Marcador = Jugador4 : 34 | * Jugador2 : 38 | Jugador1 : 28 | Jugador3 : 17 | 
Marcador = Jugador4 : 37 | * Jugador2 : 47 | Jugador1 : 28 | Jugador3 : 27 | 
Marcador = Jugador4 : 37 | * Jugador2 : 47 | Jugador1 : 28 | Jugador3 : 31 | 
Marcador = Jugador4 : 41 | * Jugador2 : 48 | Jugador1 : 48 | Jugador3 : 50 | 
Marcador = Jugador4 : 67 | * Jugador2 : 57 | Jugador1 : 75 | Jugador3 : 55 | 
Marcador = Jugador4 : 67 | * Jugador2 : 65 | Jugador1 : 75 | Jugador3 : 55 | 
Marcador = Jugador4 : 67 | * Jugador2 : 70 | Jugador1 : 75 | Jugador3 : 55 | 
Marcador = Jugador4 : 80 | * Jugador2 : 80 | Jugador1 : 77 | Jugador3 : 74 | 
Marcador = Jugador4 : 86 | * Jugador2 : 87 | Jugador1 : 96 | Jugador3 : 89 | 
Marcador = Jugador4 : 93 | * Jugador2 : 94 | Jugador1 : 96 | Jugador3 : 89 | 
Marcador = Jugador4 : 93 | * Jugador2 : 97 | Jugador1 : 96 | Jugador3 : 89 | 
Marcador = Jugador4 : 93 | * Jugador2 : 97 | Jugador1 : 96 | Jugador3 : 89 | 
Has ganadoooo
