OK
Marcador = Jugador4 : 0 | Jugador2 : 0 | Jugador1 : 0 | * Jugador3 : 2 | 
Marcador = Jugador4 : 15 | Jugador2 : 6 | Jugador1 : 0 | * Jugador3 : 3 | 
Marcador = Jugador4 : 15 | Jugador2 : 6 | Jugador1 : 0 | * Jugador3 : 5 | 
Marcador = Jugador4 : 24 | Jugador2 : 20 | Jugador1 : 10 | * Jugador3 : 12 | 
Marcador = Jugador4 : 30 | Jugador2 : 26 | Jugador1 : 19 | * Jugador3 : 17 | 
Marcador = Jugador4 : 30 | Jugador2 : 36 | Jugador1 : 19 | * Jugador3 : 17 | 
Marcador = Jugador4 : 35 | Jugador2 : 38 | Jugador1 : 28 | * Jugador3 : 25 | 
Marcador = Jugador4 : 35 | Jugador2 : 38 | Jugador1 : 28 | * Jugador3 : 27 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | Jugador1 : 28 | * Jugador3 : 31 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | Jugador1 : 28 | * Jugador3 : 40 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | Jugador1 : 28 | * Jugador3 : 45 | 
Marcador = Jugador4 : 37 | Jugador2 : 47 | Jugador1 : 28 | * Jugador3 : 47 | 
Marcador = Jugador4 : 41 | Jugador2 : 47 | Jugador1 : 48 | * Jugador3 : 50 | 
Marcador = Jugador4 : 62 | Jugador2 : 48 | Jugador1 : 62 | * Jugador3 : 50 | 
Marcador = Jugador4 : 62 | Jugador2 : 48 | Jugador1 : 62 | * Jugador3 : 51 | 
Marcador = Jugador4 : 62 | Jugador2 : 48 | Jugador1 : 66 | * Jugador3 : 55 | 
Marcador = Jugador4 : 80 | Jugador2 : 70 | Jugador1 : 77 | * Jugador3 : 65 | 
Marcador = Jugador4 : 80 | Jugador2 : 70 | Jugador1 : 77 | * Jugador3 : 74 | 
Marcador = Jugador4 : 80 | Jugador2 : 80 | Jugador1 : 77 | * Jugador3 : 81 | 
Marcador = Jugador4 : 80 | Jugador2 : 80 | Jugador1 : 87 | * Jugador3 : 84 | 
Marcador = Jugador4 : 80 | Jugador2 : 80 | Jugador1 : 93 | * Jugador3 : 89 | 
Game over
